noc_code,description,construction_trades,non_construction_trades,trades,stc
32100,Opticians,Non-Construction Trades,NA,Non-Trades,Other Occupations
32101,Licensed practical nurses,Non-Construction Trades,NA,Non-Trades,Other Occupations
32102,Paramedical occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",Non-Construction Trades,NA,Non-Trades,Other Occupations
32104,Animal health technologists and veterinary technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
32109,Other technical occupations in therapy and assessment,Non-Construction Trades,NA,Non-Trades,Other Occupations
32110,Denturists,Non-Construction Trades,NA,Non-Trades,Other Occupations
32111,Dental hygienists and dental therapists,Non-Construction Trades,NA,Non-Trades,Other Occupations
32112,Dental technologists and technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
32120,Medical laboratory technologists,Non-Construction Trades,NA,Non-Trades,Other Occupations
32121,Medical radiation technologists,Non-Construction Trades,NA,Non-Trades,Other Occupations
32122,Medical sonographers,Non-Construction Trades,NA,Non-Trades,Other Occupations
32123,Cardiology technologists and electrophysiological diagnostic technologists,Non-Construction Trades,NA,Non-Trades,Other Occupations
32124,Pharmacy technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
32129,Other medical technologists and technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
32200,Traditional Chinese medicine practitioners and acupuncturists,Non-Construction Trades,NA,Non-Trades,Other Occupations
32201,Massage therapists,Non-Construction Trades,NA,Non-Trades,Other Occupations
32209,Other practitioners of natural healing,Non-Construction Trades,NA,Non-Trades,Other Occupations
33100,Dental assistants and dental laboratory assistants,Non-Construction Trades,NA,Non-Trades,Other Occupations
33101,Medical laboratory assistants and related technical occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
33102,"Nurse aides, orderlies and patient service associates",Non-Construction Trades,NA,Non-Trades,Other Occupations
33103,Pharmacy technical assistants and pharmacy assistants,Non-Construction Trades,NA,Non-Trades,Other Occupations
33109,Other assisting occupations in support of health services,Non-Construction Trades,NA,Non-Trades,Other Occupations
40010,Government managers - health and social policy development and program administration,Non-Construction Trades,NA,Non-Trades,Other Occupations
40011,"Government managers - economic analysis, policy development and program administration",Non-Construction Trades,NA,Non-Trades,Other Occupations
40012,Government managers - education policy development and program administration,Non-Construction Trades,NA,Non-Trades,Other Occupations
40019,Other managers in public administration,Non-Construction Trades,NA,Non-Trades,Other Occupations
40020,Administrators - post-secondary education and vocational training,Non-Construction Trades,NA,Non-Trades,Other Occupations
40021,School principals and administrators of elementary and secondary education,Non-Construction Trades,NA,Non-Trades,Other Occupations
40030,"Managers in social, community and correctional services",Non-Construction Trades,NA,Non-Trades,Other Occupations
40040,Commissioned police officers and related occupations in public protection services,Non-Construction Trades,NA,Non-Trades,Other Occupations
40041,Fire chiefs and senior firefighting officers,Non-Construction Trades,NA,Non-Trades,Other Occupations
40042,Commissioned officers of the Canadian Armed Forces,Non-Construction Trades,NA,Non-Trades,Other Occupations
41100,Judges,Non-Construction Trades,NA,Non-Trades,Other Occupations
41101,Lawyers and Quebec notaries,Non-Construction Trades,NA,Non-Trades,Other Occupations
41200,University professors and lecturers,Non-Construction Trades,NA,Non-Trades,Other Occupations
41201,Post-secondary teaching and research assistants,Non-Construction Trades,NA,Non-Trades,Other Occupations
41210,College and other vocational instructors,Non-Construction Trades,NA,Non-Trades,Other Occupations
41220,Secondary school teachers,Non-Construction Trades,NA,Non-Trades,Other Occupations
41221,Elementary school and kindergarten teachers,Non-Construction Trades,NA,Non-Trades,Other Occupations
41300,Social workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
41301,Therapists in counselling and related specialized therapies,Non-Construction Trades,NA,Non-Trades,Other Occupations
41302,Religious leaders,Non-Construction Trades,NA,Non-Trades,Other Occupations
41310,Police investigators and other investigative occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
41311,Probation and parole officers,Non-Construction Trades,NA,Non-Trades,Other Occupations
41320,Educational counsellors,Non-Construction Trades,NA,Non-Trades,Other Occupations
41321,Career development practitioners and career counsellors (except education),Non-Construction Trades,NA,Non-Trades,Other Occupations
41400,"Natural and applied science policy researchers, consultants and program officers",Non-Construction Trades,NA,Non-Trades,Other Occupations
41401,Economists and economic policy researchers and analysts,Non-Construction Trades,NA,Non-Trades,Other Occupations
41402,Business development officers and market researchers and analysts,Non-Construction Trades,NA,Non-Trades,Other Occupations
41403,"Social policy researchers, consultants and program officers",Non-Construction Trades,NA,Non-Trades,Other Occupations
41404,"Health policy researchers, consultants and program officers",Non-Construction Trades,NA,Non-Trades,Other Occupations
41405,"Education policy researchers, consultants and program officers",Non-Construction Trades,NA,Non-Trades,Other Occupations
41406,"Recreation, sports and fitness policy researchers, consultants and program officers",Non-Construction Trades,NA,Non-Trades,Other Occupations
41407,Program officers unique to government,Non-Construction Trades,NA,Non-Trades,Other Occupations
41409,Other professional occupations in social science,Non-Construction Trades,NA,Non-Trades,Other Occupations
42100,Police officers (except commissioned),Non-Construction Trades,NA,Non-Trades,Other Occupations
42101,Firefighters,Non-Construction Trades,NA,Non-Trades,Other Occupations
42102,Specialized members of the Canadian Armed Forces,Non-Construction Trades,NA,Non-Trades,Other Occupations
42200,Paralegals and related occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
42201,Social and community service workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
42202,Early childhood educators and assistants,Non-Construction Trades,NA,Non-Trades,Other Occupations
42203,Instructors of persons with disabilities,Non-Construction Trades,NA,Non-Trades,Other Occupations
42204,Religion workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
43100,Elementary and secondary school teacher assistants,Non-Construction Trades,NA,Non-Trades,Other Occupations
43109,Other instructors,Non-Construction Trades,NA,Non-Trades,Other Occupations
43200,Sheriffs and bailiffs,Non-Construction Trades,NA,Non-Trades,Other Occupations
43201,Correctional service officers,Non-Construction Trades,NA,Non-Trades,Other Occupations
43202,By-law enforcement and other regulatory officers,Non-Construction Trades,NA,Non-Trades,Other Occupations
43203,"Border services, customs, and immigration officers",Non-Construction Trades,NA,Non-Trades,Other Occupations
43204,Operations members of the Canadian Armed Forces,Non-Construction Trades,NA,Non-Trades,Other Occupations
44100,Home child care providers,Non-Construction Trades,NA,Non-Trades,Other Occupations
44101,"Home support workers, caregivers and related occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
44200,Primary combat members of the Canadian Armed Forces,Non-Construction Trades,NA,Non-Trades,Other Occupations
45100,"Student monitors, crossing guards and related occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
50010,"Library, archive, museum and art gallery managers",Non-Construction Trades,NA,Non-Trades,Other Occupations
50011,"Managers - publishing, motion pictures, broadcasting and performing arts",Non-Construction Trades,NA,Non-Trades,Other Occupations
50012,"Recreation, sports and fitness program and service directors",Non-Construction Trades,NA,Non-Trades,Other Occupations
51100,Librarians,Non-Construction Trades,NA,Non-Trades,Other Occupations
51101,Conservators and curators,Non-Construction Trades,NA,Non-Trades,Other Occupations
51102,Archivists,Non-Construction Trades,NA,Non-Trades,Other Occupations
51110,Editors,Non-Construction Trades,NA,Non-Trades,Other Occupations
51111,Authors and writers (except technical),Non-Construction Trades,NA,Non-Trades,Other Occupations
51112,Technical writers,Non-Construction Trades,NA,Non-Trades,Other Occupations
51113,Journalists,Non-Construction Trades,NA,Non-Trades,Other Occupations
51114,"Translators, terminologists and interpreters",Non-Construction Trades,NA,Non-Trades,Other Occupations
51120,"Producers, directors, choreographers and related occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
51121,"Conductors, composers and arrangers",Non-Construction Trades,NA,Non-Trades,Other Occupations
51122,Musicians and singers,Non-Construction Trades,NA,Non-Trades,Other Occupations
52100,Library and public archive technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
52110,Film and video camera operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
52111,Graphic arts technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
52112,Broadcast technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
52113,Audio and video recording technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
52114,Announcers and other broadcasters,Non-Construction Trades,NA,Non-Trades,Other Occupations
52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",Non-Construction Trades,NA,Non-Trades,Other Occupations
52120,Graphic designers and illustrators,Non-Construction Trades,NA,Non-Trades,Other Occupations
52121,Interior designers and interior decorators,Non-Construction Trades,NA,Non-Trades,Other Occupations
53100,"Registrars, restorers, interpreters and other occupations related to museum and art galleries",Non-Construction Trades,NA,Non-Trades,Other Occupations
53110,Photographers,Non-Construction Trades,NA,Non-Trades,Other Occupations
53111,"Motion pictures, broadcasting, photography and performing arts assistants and operators",Non-Construction Trades,NA,Non-Trades,Other Occupations
53120,Dancers,Non-Construction Trades,NA,Non-Trades,Other Occupations
53121,"Actors, comedians and circus performers",Non-Construction Trades,NA,Non-Trades,Other Occupations
53122,"Painters, sculptors and other visual artists",Non-Construction Trades,NA,Non-Trades,Other Occupations
53123,"Theatre, fashion, exhibit and other creative designers",Non-Construction Trades,NA,Non-Trades,Other Occupations
53124,Artisans and craftspersons,Non-Construction Trades,NA,Non-Trades,Other Occupations
53125,"Patternmakers - textile, leather and fur products",Non-Construction Trades,NA,Non-Trades,Other Occupations
53200,Athletes,Non-Construction Trades,NA,Non-Trades,Other Occupations
53201,Coaches,Non-Construction Trades,NA,Non-Trades,Other Occupations
53202,Sports officials and referees,Non-Construction Trades,NA,Non-Trades,Other Occupations
54100,"Program leaders and instructors in recreation, sport and fitness",Non-Construction Trades,NA,Non-Trades,Other Occupations
55109,Other performers,Non-Construction Trades,NA,Non-Trades,Other Occupations
60010,Corporate sales managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
60020,Retail and wholesale trade managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
60030,Restaurant and food service managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
60031,Accommodation service managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
60040,Managers in customer and personal services,Non-Construction Trades,NA,Non-Trades,Other Occupations
62010,Retail sales supervisors,Non-Construction Trades,NA,Non-Trades,Other Occupations
62020,Food service supervisors,Non-Construction Trades,NA,Non-Trades,Other Occupations
62021,Executive housekeepers,Non-Construction Trades,NA,Non-Trades,Other Occupations
62022,"Accommodation, travel, tourism and related services supervisors",Non-Construction Trades,NA,Non-Trades,Other Occupations
62023,Customer and information services supervisors,Non-Construction Trades,NA,Non-Trades,Other Occupations
62024,Cleaning supervisors,Non-Construction Trades,NA,Non-Trades,Other Occupations
62029,Other services supervisors,Non-Construction Trades,NA,Non-Trades,Other Occupations
62100,Technical sales specialists - wholesale trade,Non-Construction Trades,NA,Non-Trades,Other Occupations
62101,Retail and wholesale buyers,Non-Construction Trades,NA,Non-Trades,Other Occupations
62200,Chefs,Non-Construction Trades,NA,Non-Trades,Other Occupations
62201,Funeral directors and embalmers,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
62202,"Jewellers, jewellery and watch repairers and related occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
63100,Insurance agents and brokers,Non-Construction Trades,NA,Non-Trades,Other Occupations
63101,Real estate agents and salespersons,Non-Construction Trades,NA,Non-Trades,Other Occupations
63102,Financial sales representatives,Non-Construction Trades,NA,Non-Trades,Other Occupations
63200,Cooks,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
63201,Butchers - retail and wholesale,Non-Construction Trades,NA,Non-Trades,Other Occupations
63202,Bakers,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
63210,Hairstylists and barbers,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
63211,"Estheticians, electrologists and related occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
63220,Shoe repairers and shoemakers,Non-Construction Trades,NA,Non-Trades,Other Occupations
63221,Upholsterers,Non-Construction Trades,NA,Non-Trades,Other Occupations
64100,Retail salespersons and visual merchandisers,Non-Construction Trades,NA,Non-Trades,Other Occupations
64101,Sales and account representatives - wholesale trade (non-technical),Non-Construction Trades,NA,Non-Trades,Other Occupations
64200,"Tailors, dressmakers, furriers and milliners",Non-Construction Trades,NA,Non-Trades,Other Occupations
64201,"Image, social and other personal consultants",Non-Construction Trades,NA,Non-Trades,Other Occupations
64300,Maîtres d'hôtel and hosts/hostesses,Non-Construction Trades,NA,Non-Trades,Other Occupations
64301,Bartenders,Non-Construction Trades,NA,Non-Trades,Other Occupations
64310,Travel counsellors,Non-Construction Trades,NA,Non-Trades,Other Occupations
64311,Pursers and flight attendants,Non-Construction Trades,NA,Non-Trades,Other Occupations
64312,Airline ticket and service agents,Non-Construction Trades,NA,Non-Trades,Other Occupations
64313,"Ground and water transport ticket agents, cargo service representatives and related clerks",Non-Construction Trades,NA,Non-Trades,Other Occupations
64314,Hotel front desk clerks,Non-Construction Trades,NA,Non-Trades,Other Occupations
64320,Tour and travel guides,Non-Construction Trades,NA,Non-Trades,Other Occupations
64321,Casino workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
64322,Outdoor sport and recreational guides,Non-Construction Trades,NA,Non-Trades,Other Occupations
64400,Customer services representatives - financial institutions,Non-Construction Trades,NA,Non-Trades,Other Occupations
64401,Postal services representatives,Non-Construction Trades,NA,Non-Trades,Other Occupations
64409,Other customer and information services representatives,Non-Construction Trades,NA,Non-Trades,Other Occupations
64410,Security guards and related security service occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
65100,Cashiers,Non-Construction Trades,NA,Non-Trades,Other Occupations
65101,Service station attendants,Non-Construction Trades,NA,Non-Trades,Other Occupations
65102,"Store shelf stockers, clerks and order fillers",Non-Construction Trades,NA,Non-Trades,Other Occupations
65109,Other sales related occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
65200,Food and beverage servers,Non-Construction Trades,NA,Non-Trades,Other Occupations
65201,"Food counter attendants, kitchen helpers and related support occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
65202,Meat cutters and fishmongers - retail and wholesale,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
65210,"Support occupations in accommodation, travel and facilities set-up services",Non-Construction Trades,NA,Non-Trades,Other Occupations
65211,"Operators and attendants in amusement, recreation and sport",Non-Construction Trades,NA,Non-Trades,Other Occupations
65220,Pet groomers and animal care workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
65229,Other support occupations in personal services,Non-Construction Trades,NA,Non-Trades,Other Occupations
65310,Light duty cleaners,Non-Construction Trades,NA,Non-Trades,Other Occupations
65311,Specialized cleaners,Non-Construction Trades,NA,Non-Trades,Other Occupations
65312,"Janitors, caretakers and heavy-duty cleaners",Non-Construction Trades,NA,Non-Trades,Other Occupations
65320,"Dry cleaning, laundry and related occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
65329,Other service support occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
70010,Construction managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
70011,Home building and renovation managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
70012,Facility operation and maintenance managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
70020,Managers in transportation,Non-Construction Trades,NA,Non-Trades,Other Occupations
70021,Postal and courier services managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
72011,"Contractors and supervisors, electrical trades and telecommunications occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
