noc_code,description,construction_trades,non_construction_trades,trades,stc
00010,Legislators,Non-Construction Trades,NA,Non-Trades,Other Occupations
00018,Senior managers - public and private sector,Non-Construction Trades,NA,Non-Trades,Other Occupations
10010,Financial managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
10011,Human resources managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
10012,Purchasing managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
10019,Other administrative services managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
10020,"Insurance, real estate and financial brokerage managers",Non-Construction Trades,NA,Non-Trades,Other Occupations
10021,"Banking, credit and other investment managers",Non-Construction Trades,NA,Non-Trades,Other Occupations
10022,"Advertising, marketing and public relations managers",Non-Construction Trades,NA,Non-Trades,Other Occupations
10029,Other business services managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
10030,Telecommunication carriers managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
11100,Financial auditors and accountants,Non-Construction Trades,NA,Non-Trades,Other Occupations
11101,Financial and investment analysts,Non-Construction Trades,NA,Non-Trades,Other Occupations
11102,Financial advisors,Non-Construction Trades,NA,Non-Trades,Other Occupations
11103,"Securities agents, investment dealers and brokers",Non-Construction Trades,NA,Non-Trades,Other Occupations
11109,Other financial officers,Non-Construction Trades,NA,Non-Trades,Other Occupations
11200,Human resources professionals,Non-Construction Trades,NA,Non-Trades,Other Occupations
11201,Professional occupations in business management consulting,Non-Construction Trades,NA,Non-Trades,Other Occupations
11202,"Professional occupations in advertising, marketing and public relations",Non-Construction Trades,NA,Non-Trades,Other Occupations
12010,"Supervisors, general office and administrative support workers",Non-Construction Trades,NA,Non-Trades,Other Occupations
12011,"Supervisors, finance and insurance office workers",Non-Construction Trades,NA,Non-Trades,Other Occupations
12012,"Supervisors, library, correspondence and related information workers",Non-Construction Trades,NA,Non-Trades,Other Occupations
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
12100,Executive assistants,Non-Construction Trades,NA,Non-Trades,Other Occupations
12101,Human resources and recruitment officers,Non-Construction Trades,NA,Non-Trades,Other Occupations
12102,Procurement and purchasing agents and officers,Non-Construction Trades,NA,Non-Trades,Other Occupations
12103,Conference and event planners,Non-Construction Trades,NA,Non-Trades,Other Occupations
12104,Employment insurance and revenue officers,Non-Construction Trades,NA,Non-Trades,Other Occupations
12110,"Court reporters, medical transcriptionists and related occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
12111,Health information management occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
12112,Records management technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
12113,Statistical officers and related research support occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
12200,Accounting technicians and bookkeepers,Non-Construction Trades,NA,Non-Trades,Other Occupations
12201,Insurance adjusters and claims examiners,Non-Construction Trades,NA,Non-Trades,Other Occupations
12202,Insurance underwriters,Non-Construction Trades,NA,Non-Trades,Other Occupations
12203,"Assessors, business valuators and appraisers",Non-Construction Trades,NA,Non-Trades,Other Occupations
13100,Administrative officers,Non-Construction Trades,NA,Non-Trades,Other Occupations
13101,Property administrators,Non-Construction Trades,NA,Non-Trades,Other Occupations
13102,Payroll administrators,Non-Construction Trades,NA,Non-Trades,Other Occupations
13110,Administrative assistants,Non-Construction Trades,NA,Non-Trades,Other Occupations
13111,Legal administrative assistants,Non-Construction Trades,NA,Non-Trades,Other Occupations
13112,Medical administrative assistants,Non-Construction Trades,NA,Non-Trades,Other Occupations
13200,"Customs, ship and other brokers",Non-Construction Trades,NA,Non-Trades,Other Occupations
13201,Production and transportation logistics coordinators,Non-Construction Trades,NA,Non-Trades,Other Occupations
14100,General office support workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
14101,Receptionists,Non-Construction Trades,NA,Non-Trades,Other Occupations
14102,Personnel clerks,Non-Construction Trades,NA,Non-Trades,Other Occupations
14103,Court clerks and related court services occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
14110,Survey interviewers and statistical clerks,Non-Construction Trades,NA,Non-Trades,Other Occupations
14111,Data entry clerks,Non-Construction Trades,NA,Non-Trades,Other Occupations
14112,Desktop publishing operators and related occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
14200,Accounting and related clerks,Non-Construction Trades,NA,Non-Trades,Other Occupations
14201,"Banking, insurance and other financial clerks",Non-Construction Trades,NA,Non-Trades,Other Occupations
14202,Collection clerks,Non-Construction Trades,NA,Non-Trades,Other Occupations
14300,Library assistants and clerks,Non-Construction Trades,NA,Non-Trades,Other Occupations
14301,"Correspondence, publication and regulatory clerks",Non-Construction Trades,NA,Non-Trades,Other Occupations
14400,Shippers and receivers,Non-Construction Trades,NA,Non-Trades,Other Occupations
14401,Storekeepers and partspersons,Non-Construction Trades,NA,Non-Trades,Other Occupations
14402,Production logistics workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
14403,Purchasing and inventory control workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
14404,Dispatchers,Non-Construction Trades,NA,Non-Trades,Other Occupations
14405,Transportation route and crew schedulers,Non-Construction Trades,NA,Non-Trades,Other Occupations
20010,Engineering managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
20011,Architecture and science managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
20012,Computer and information systems managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21100,Physicists and astronomers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21101,Chemists,Non-Construction Trades,NA,Non-Trades,Other Occupations
21102,Geoscientists and oceanographers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21103,Meteorologists and climatologists,Non-Construction Trades,NA,Non-Trades,Other Occupations
21109,Other professional occupations in physical sciences,Non-Construction Trades,NA,Non-Trades,Other Occupations
21110,Biologists and related scientists,Non-Construction Trades,NA,Non-Trades,Other Occupations
21111,Forestry professionals,Non-Construction Trades,NA,Non-Trades,Other Occupations
21112,"Agricultural representatives, consultants and specialists",Non-Construction Trades,NA,Non-Trades,Other Occupations
21120,Public and environmental health and safety professionals,Non-Construction Trades,NA,Non-Trades,Other Occupations
21200,Architects,Non-Construction Trades,NA,Non-Trades,Other Occupations
21201,Landscape architects,Non-Construction Trades,NA,Non-Trades,Other Occupations
21202,Urban and land use planners,Non-Construction Trades,NA,Non-Trades,Other Occupations
21203,Land surveyors,Non-Construction Trades,NA,Non-Trades,Other Occupations
21210,"Mathematicians, statisticians and actuaries",Non-Construction Trades,NA,Non-Trades,Other Occupations
21211,Data scientists,Non-Construction Trades,NA,Non-Trades,Other Occupations
21220,Cybersecurity specialists,Non-Construction Trades,NA,Non-Trades,Other Occupations
21221,Business systems specialists,Non-Construction Trades,NA,Non-Trades,Other Occupations
21222,Information systems specialists,Non-Construction Trades,NA,Non-Trades,Other Occupations
21223,Database analysts and data administrators,Non-Construction Trades,NA,Non-Trades,Other Occupations
21230,Computer systems developers and programmers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21231,Software engineers and designers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21232,Software developers and programmers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21233,Web designers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21234,Web developers and programmers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21300,Civil engineers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21301,Mechanical engineers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21310,Electrical and electronics engineers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21311,Computer engineers (except software engineers and designers),Non-Construction Trades,NA,Non-Trades,Other Occupations
21320,Chemical engineers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21321,Industrial and manufacturing engineers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21322,Metallurgical and materials engineers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21330,Mining engineers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21331,Geological engineers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21332,Petroleum engineers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21390,Aerospace engineers,Non-Construction Trades,NA,Non-Trades,Other Occupations
21399,Other professional engineers,Non-Construction Trades,NA,Non-Trades,Other Occupations
22100,Chemical technologists and technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
22101,Geological and mineral technologists and technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
22110,Biological technologists and technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
22111,Agricultural and fish products inspectors,Non-Construction Trades,NA,Non-Trades,Other Occupations
22112,Forestry technologists and technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
22113,Conservation and fishery officers,Non-Construction Trades,NA,Non-Trades,Other Occupations
22114,Landscape and horticulture technicians and specialists,Construction Trades,NA,Trades,Other Trades
22210,Architectural technologists and technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
22211,Industrial designers,Non-Construction Trades,NA,Non-Trades,Other Occupations
22212,Drafting technologists and technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
22213,Land survey technologists and technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
22214,Technical occupations in geomatics and meteorology,Non-Construction Trades,NA,Non-Trades,Other Occupations
22220,Computer network and web technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
22221,User support technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
22222,Information systems testing technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
22230,Non-destructive testers and inspectors,Non-Construction Trades,NA,Non-Trades,Other Occupations
22231,Engineering inspectors and regulatory officers,Non-Construction Trades,NA,Non-Trades,Other Occupations
22232,Occupational health and safety specialists,Non-Construction Trades,NA,Non-Trades,Other Occupations
22233,Construction inspectors,Non-Construction Trades,NA,Non-Trades,Other Occupations
22300,Civil engineering technologists and technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
22301,Mechanical engineering technologists and technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
22302,Industrial engineering and manufacturing technologists and technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
22303,Construction estimators,Non-Construction Trades,NA,Non-Trades,Other Occupations
22310,Electrical and electronics engineering technologists and technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
22311,Electronic service technicians (household and business equipment),Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
22312,Industrial instrument technicians and mechanics,Construction Trades,NA,Trades,Other Trades
22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",Non-Construction Trades,NA,Non-Trades,Other Occupations
30010,Managers in health care,Non-Construction Trades,NA,Non-Trades,Other Occupations
31100,Specialists in clinical and laboratory medicine,Non-Construction Trades,NA,Non-Trades,Other Occupations
31101,Specialists in surgery,Non-Construction Trades,NA,Non-Trades,Other Occupations
31102,General practitioners and family physicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
31103,Veterinarians,Non-Construction Trades,NA,Non-Trades,Other Occupations
31110,Dentists,Non-Construction Trades,NA,Non-Trades,Other Occupations
31111,Optometrists,Non-Construction Trades,NA,Non-Trades,Other Occupations
31112,Audiologists and speech-language pathologists,Non-Construction Trades,NA,Non-Trades,Other Occupations
31120,Pharmacists,Non-Construction Trades,NA,Non-Trades,Other Occupations
31121,Dietitians and nutritionists,Non-Construction Trades,NA,Non-Trades,Other Occupations
31200,Psychologists,Non-Construction Trades,NA,Non-Trades,Other Occupations
31201,Chiropractors,Non-Construction Trades,NA,Non-Trades,Other Occupations
31202,Physiotherapists,Non-Construction Trades,NA,Non-Trades,Other Occupations
31203,Occupational therapists,Non-Construction Trades,NA,Non-Trades,Other Occupations
31204,Kinesiologists and other professional occupations in therapy and assessment,Non-Construction Trades,NA,Non-Trades,Other Occupations
31209,Other professional occupations in health diagnosing and treating,Non-Construction Trades,NA,Non-Trades,Other Occupations
31300,Nursing coordinators and supervisors,Non-Construction Trades,NA,Non-Trades,Other Occupations
31301,Registered nurses and registered psychiatric nurses,Non-Construction Trades,NA,Non-Trades,Other Occupations
31302,Nurse practitioners,Non-Construction Trades,NA,Non-Trades,Other Occupations
31303,"Physician assistants, midwives and allied health professionals",Non-Construction Trades,NA,Non-Trades,Other Occupations
