SYEAR,ERTAB,LF_STAT,NOC_5,_COUNT_
,,,,101266500
,,,50010,20500
,,,50011,53750
,,,50012,33750
,,,51100,85000
,,,51101,17750
,,,51102,6250
,,,51110,110000
,,,51111,227750
,,,51112,32250
,,,51113,59000
,,,51114,100750
,,,51120,419750
,,,51121,25750
,,,51122,364250
,,,52100,54750
,,,52110,113750
,,,52111,136500
,,,52112,11750
,,,52113,143750
,,,52114,45750
,,,52119,206000
,,,52120,962750
,,,52121,296250
,,,53100,54500
,,,53110,258000
,,,53111,245250
,,,53120,96250
,,,53121,257500
,,,53122,230250
,,,53123,104750
,,,53124,88750
,,,53125,10750
,,,53200,23500
,,,53201,167750
,,,53202,116500
,,,54100,1362500
,,,55109,72750
,,,60010,138000
,,,60020,2895500
,,,60030,1166750
,,,60031,842250
,,,60040,206500
,,,62010,2312250
,,,62020,689500
,,,62021,50000
,,,62022,222000
,,,62023,221250
,,,62024,440500
,,,62029,336250
,,,62100,1190500
,,,62101,219750
,,,62200,860250
,,,62201,62000
,,,62202,33000
,,,63100,869750
,,,63101,1254250
,,,63102,494750
,,,63200,2039000
,,,63201,102250
,,,63202,427250
,,,63210,851750
,,,63211,746000
,,,63220,16250
,,,63221,53500
,,,64100,6262500
,,,64101,2405000
,,,64200,103500
,,,64201,22250
,,,64300,787000
,,,64301,416750
,,,64310,326000
,,,64311,222000
,,,64312,206250
,,,64313,79750
,,,64314,301000
,,,64320,78000
,,,64321,164000
,,,64322,96250
,,,64400,651500
,,,64401,82500
,,,64409,1295000
,,,64410,1047500
,,,65100,3509250
,,,65101,131500
,,,65102,2225750
,,,65109,356250
,,,65200,2585250
,,,65201,4382000
,,,65202,127750
,,,65210,17000
,,,65211,586250
,,,65220,287250
,,,65229,74750
,,,65310,2088500
,,,65311,476500
,,,65312,1341500
,,,65320,168750
,,,65329,330500
,,,70010,912500
,,,70011,1502750
,,,70012,315750
,,,70020,227250
,,,70021,14500
,,,72010,137250
,,,72011,388750
,,,72012,231750
,,,72013,383000
,,,72014,770250
,,,72020,538000
,,,72021,488250
,,,72022,34000
,,,72023,15250
,,,72024,377250
,,,72025,66000
,,,72100,215000
,,,72101,14500
,,,72102,156250
,,,72103,35000
,,,72104,127750
,,,72105,227250
,,,72106,759500
,,,72200,1075250
,,,72201,342750
,,,72202,18500
,,,72203,101750
,,,72204,84750
,,,72205,267500
,,,72300,616250
,,,72301,243500
,,,72302,53500
,,,72310,1649000
,,,72311,58250
,,,72320,142000
,,,72321,85500
,,,72400,730250
,,,72401,721000
,,,72402,264500
,,,72403,42500
,,,72404,214500
,,,72405,1750
,,,72406,85000
,,,72410,1017500
,,,72411,263500
,,,72420,9500
,,,72421,56500
,,,72422,11250
,,,72423,71250
,,,72429,45750
,,,72500,122000
,,,72501,6000
,,,72600,240000
,,,72601,64500
,,,72602,206000
,,,72603,47750
,,,72604,7250
,,,72999,118500
,,,73100,160500
,,,73101,157000
,,,73102,323000
,,,73110,221750
,,,73111,70250
,,,73112,670000
,,,73113,163750
,,,73200,571500
,,,73201,530750
,,,73202,35500
,,,73209,147000
,,,73300,2799250
,,,73301,773750
,,,73310,114000
,,,73311,91750
,,,73400,807250
,,,73401,120750
,,,73402,40000
,,,74100,102500
,,,74101,285750
,,,74102,114500
,,,74200,50500
,,,74201,78750
,,,74202,140500
,,,74203,124000
,,,74204,46000
,,,74205,168000
,,,75100,209500
,,,75101,1813000
,,,75110,1545000
,,,75119,75250
,,,75200,403750
,,,75201,806500
,,,75210,64000
,,,75211,79250
,,,75212,139000
,,,80010,100750
,,,80020,534500
,,,80021,78000
,,,80022,50000
,,,82010,138500
,,,82020,108000
,,,82021,90500
,,,82030,64000
,,,82031,336500
,,,83100,319500
,,,83101,131500
,,,83110,251500
,,,83120,8250
,,,83121,134000
,,,84100,37000
,,,84101,48000
,,,84110,149750
,,,84111,70750
,,,84120,164500
,,,84121,31750
,,,85100,208500
,,,85101,444500
,,,85102,56500
,,,85103,295000
,,,85104,7250
,,,85110,30000
,,,85111,43500
,,,85120,97250
,,,85121,1025500
,,,90010,500000
,,,90011,72750
,,,92010,82750
,,,92011,153000
,,,92012,252750
,,,92013,50000
,,,92014,188250
,,,92015,37000
,,,92020,4500
,,,92021,39750
,,,92022,71500
,,,92023,193000
,,,92024,89250
,,,92100,235500
,,,92101,68000
,,,93100,54250
,,,93101,82000
,,,93102,13500
,,,93200,44000
,,,94100,49750
,,,94101,7500
,,,94102,47250
,,,94103,60750
,,,94104,8000
,,,94105,73250
,,,94106,53750
,,,94107,66500
,,,94110,120250
,,,94111,66500
,,,94112,24000
,,,94120,201500
,,,94121,98250
,,,94122,33000
,,,94123,59000
,,,94124,77000
,,,94129,70250
,,,94130,11500
,,,94131,9500
,,,94132,144000
,,,94133,17500
,,,94140,516500
,,,94141,71500
,,,94142,62000
,,,94143,53000
,,,94150,44750
,,,94151,9250
,,,94152,18250
,,,94153,26250
,,,94200,3500
,,,94201,122250
,,,94202,47000
,,,94203,45750
,,,94204,59250
,,,94205,12750
,,,94210,215500
,,,94211,97750
,,,94212,42250
,,,94213,69500
,,,94219,251500
,,,95100,50750
,,,95101,83250
,,,95102,67250
,,,95103,391000
,,,95104,41500
,,,95105,17750
,,,95106,375250
,,,95107,54000
,,,95109,171500
,,Employed,,87800000
,,Employed,50010,20000
,,Employed,50011,50750
,,Employed,50012,31000
,,Employed,51100,78250
,,Employed,51101,15500
,,Employed,51102,6250
,,Employed,51110,102000
,,Employed,51111,206750
,,Employed,51112,29750
,,Employed,51113,56000
,,Employed,51114,88750
,,Employed,51120,387750
,,Employed,51121,23750
,,Employed,51122,328750
,,Employed,52100,52250
,,Employed,52110,97500
,,Employed,52111,108750
,,Employed,52112,8750
,,Employed,52113,139000
,,Employed,52114,41750
,,Employed,52119,170250
,,Employed,52120,853500
,,Employed,52121,276500
,,Employed,53100,31750
,,Employed,53110,226250
,,Employed,53111,183750
,,Employed,53120,87750
,,Employed,53121,187500
,,Employed,53122,197250
,,Employed,53123,97250
,,Employed,53124,76250
,,Employed,53125,10750
,,Employed,53200,16000
,,Employed,53201,142000
,,Employed,53202,40250
,,Employed,54100,997500
,,Employed,55109,55250
,,Employed,60010,132000
,,Employed,60020,2722250
,,Employed,60030,1081500
,,Employed,60031,776000
,,Employed,60040,199750
,,Employed,62010,2145250
,,Employed,62020,636000
,,Employed,62021,36750
,,Employed,62022,193250
,,Employed,62023,205250
,,Employed,62024,421000
,,Employed,62029,303750
,,Employed,62100,1122250
,,Employed,62101,204500
,,Employed,62200,733000
,,Employed,62201,61750
,,Employed,62202,32250
,,Employed,63100,821500
,,Employed,63101,1210250
,,Employed,63102,457250
,,Employed,63200,1637250
,,Employed,63201,84000
,,Employed,63202,373000
,,Employed,63210,803250
,,Employed,63211,698250
,,Employed,63220,14250
,,Employed,63221,44750
,,Employed,64100,5140500
,,Employed,64101,2235750
,,Employed,64200,89000
,,Employed,64201,22000
,,Employed,64300,642500
,,Employed,64301,353000
,,Employed,64310,265250
,,Employed,64311,200000
,,Employed,64312,177000
,,Employed,64313,69000
,,Employed,64314,253000
,,Employed,64320,46000
,,Employed,64321,134000
,,Employed,64322,60750
,,Employed,64400,593250
,,Employed,64401,73000
,,Employed,64409,1149500
,,Employed,64410,925750
,,Employed,65100,2762750
,,Employed,65101,110000
,,Employed,65102,1914750
,,Employed,65109,285750
,,Employed,65200,2015250
,,Employed,65201,3392750
,,Employed,65202,107000
,,Employed,65210,13250
,,Employed,65211,405750
,,Employed,65220,252750
,,Employed,65229,66750
,,Employed,65310,1764500
,,Employed,65311,387000
,,Employed,65312,1179000
,,Employed,65320,151000
,,Employed,65329,246500
,,Employed,70010,855000
,,Employed,70011,1387500
,,Employed,70012,295500
,,Employed,70020,218750
,,Employed,70021,13000
,,Employed,72010,130250
,,Employed,72011,369000
,,Employed,72012,227500
,,Employed,72013,354250
,,Employed,72014,743000
,,Employed,72020,512750
,,Employed,72021,450000
,,Employed,72022,30500
,,Employed,72023,13500
,,Employed,72024,351000
,,Employed,72025,61500
,,Employed,72100,201250
,,Employed,72101,13250
,,Employed,72102,143750
,,Employed,72103,24500
,,Employed,72104,115750
,,Employed,72105,195750
,,Employed,72106,664000
,,Employed,72200,947750
,,Employed,72201,308250
,,Employed,72202,17250
,,Employed,72203,96000
,,Employed,72204,83250
,,Employed,72205,259250
,,Employed,72300,556250
,,Employed,72301,204000
,,Employed,72302,50500
,,Employed,72310,1461000
,,Employed,72311,54500
,,Employed,72320,118750
,,Employed,72321,75250
,,Employed,72400,658000
,,Employed,72401,674500
,,Employed,72402,249000
,,Employed,72403,42250
,,Employed,72404,192250
,,Employed,72405,1250
,,Employed,72406,81000
,,Employed,72410,956250
,,Employed,72411,250500
,,Employed,72420,6250
,,Employed,72421,54750
,,Employed,72422,8750
,,Employed,72423,68250
,,Employed,72429,40750
,,Employed,72500,111250
,,Employed,72501,6000
,,Employed,72600,229500
,,Employed,72601,62000
,,Employed,72602,189750
,,Employed,72603,45250
,,Employed,72604,7000
,,Employed,72999,109500
,,Employed,73100,147000
,,Employed,73101,141500
,,Employed,73102,293500
,,Employed,73110,199500
,,Employed,73111,66000
,,Employed,73112,532250
,,Employed,73113,151250
,,Employed,73200,509000
,,Employed,73201,463500
,,Employed,73202,35250
,,Employed,73209,134000
,,Employed,73300,2531000
,,Employed,73301,706500
,,Employed,73310,106250
,,Employed,73311,86000
,,Employed,73400,692500
,,Employed,73401,116750
,,Employed,73402,34500
,,Employed,74100,86000
,,Employed,74101,275750
,,Employed,74102,93500
,,Employed,74200,45500
,,Employed,74201,68500
,,Employed,74202,119750
,,Employed,74203,103250
,,Employed,74204,44250
,,Employed,74205,147250
,,Employed,75100,193750
,,Employed,75101,1524250
,,Employed,75110,1151250
,,Employed,75119,55500
,,Employed,75200,378250
,,Employed,75201,658500
,,Employed,75210,44750
,,Employed,75211,62000
,,Employed,75212,119500
,,Employed,80010,91000
,,Employed,80020,510000
,,Employed,80021,75500
,,Employed,80022,48250
,,Employed,82010,129500
,,Employed,82020,102250
,,Employed,82021,79750
,,Employed,82030,58250
,,Employed,82031,319500
,,Employed,83100,301750
,,Employed,83101,115500
,,Employed,83110,206000
,,Employed,83120,3750
,,Employed,83121,105000
,,Employed,84100,32250
,,Employed,84101,36000
,,Employed,84110,118250
,,Employed,84111,38250
,,Employed,84120,115250
,,Employed,84121,11750
,,Employed,85100,157750
,,Employed,85101,222750
