SYEAR,ERTAB,LF_STAT,NOC_5,_COUNT_
,,,,78582000
,,,50010,17500
,,,50011,55000
,,,50012,42750
,,,51100,90500
,,,51101,14500
,,,51102,9500
,,,51110,137500
,,,51111,235750
,,,51112,48750
,,,51113,72250
,,,51114,83750
,,,51120,436250
,,,51121,19750
,,,51122,267250
,,,52100,41750
,,,52110,54250
,,,52111,179500
,,,52112,12250
,,,52113,125750
,,,52114,35500
,,,52119,172250
,,,52120,962500
,,,52121,206500
,,,53100,65750
,,,53110,167000
,,,53111,197500
,,,53120,105000
,,,53121,170500
,,,53122,199000
,,,53123,99750
,,,53124,77750
,,,53125,750
,,,53200,21750
,,,53201,112250
,,,53202,57250
,,,54100,1300500
,,,55109,53500
,,,60010,129250
,,,60020,2512000
,,,60030,910250
,,,60031,597750
,,,60040,151000
,,,62010,1775000
,,,62020,640250
,,,62021,16750
,,,62022,207250
,,,62023,141000
,,,62024,338000
,,,62029,195750
,,,62100,979250
,,,62101,221250
,,,62200,640500
,,,62201,41750
,,,62202,9500
,,,63100,706000
,,,63101,1039500
,,,63102,447750
,,,63200,1521250
,,,63201,42750
,,,63202,319250
,,,63210,616750
,,,63211,540500
,,,63220,2500
,,,63221,46750
,,,64100,4999750
,,,64101,1751250
,,,64200,76250
,,,64201,20000
,,,64300,619500
,,,64301,255500
,,,64310,124750
,,,64311,120500
,,,64312,131500
,,,64313,29750
,,,64314,226250
,,,64320,59000
,,,64321,92250
,,,64322,43000
,,,64400,356000
,,,64401,75750
,,,64409,1068250
,,,64410,770500
,,,65100,2450000
,,,65101,57500
,,,65102,1925500
,,,65109,170000
,,,65200,1680750
,,,65201,3274750
,,,65202,76500
,,,65210,14000
,,,65211,556000
,,,65220,248750
,,,65229,31500
,,,65310,1505500
,,,65311,339500
,,,65312,796750
,,,65320,132000
,,,65329,213750
,,,70010,931750
,,,70011,1169250
,,,70012,301000
,,,70020,277750
,,,70021,21750
,,,72010,133750
,,,72011,246500
,,,72012,138500
,,,72013,316000
,,,72014,517750
,,,72020,418500
,,,72021,424000
,,,72022,34250
,,,72023,7250
,,,72024,269500
,,,72025,42000
,,,72100,158000
,,,72101,10250
,,,72102,140000
,,,72103,19750
,,,72104,53500
,,,72105,141250
,,,72106,574750
,,,72200,922750
,,,72201,298000
,,,72202,8500
,,,72203,83000
,,,72204,37500
,,,72205,130250
,,,72300,532000
,,,72301,169250
,,,72302,47500
,,,72310,1086750
,,,72311,31500
,,,72320,46500
,,,72321,75000
,,,72400,536500
