SYEAR,ERTAB,LF_STAT,NOC_5,_COUNT_
,,,,137279000
,,,00010,36000
,,,00011,33250
,,,00012,344250
,,,00013,14750
,,,00015,1000
,,,10010,408500
,,,10011,336000
,,,10012,108250
,,,10019,61250
,,,10020,266500
,,,10021,289750
,,,10022,315250
,,,10029,143750
,,,10030,79000
,,,11100,1719750
,,,11101,310500
,,,11102,849750
,,,11103,185000
,,,11109,298000
,,,11200,748500
,,,11201,821250
,,,11202,1715000
,,,12010,201500
,,,12011,241250
,,,12012,14750
,,,12013,559000
,,,12100,243000
,,,12101,253000
,,,12102,386750
,,,12103,181250
,,,12104,471750
,,,12110,59750
,,,12111,28750
,,,12112,44250
,,,12113,28750
,,,12200,1706000
,,,12201,319000
,,,12202,109000
,,,12203,125250
,,,13100,1446750
,,,13101,329500
,,,13102,397000
,,,13110,1521750
,,,13111,496000
,,,13112,375250
,,,13200,45750
,,,13201,177500
,,,14100,1278250
,,,14101,1512250
,,,14102,78250
,,,14103,45000
,,,14110,131750
,,,14111,260250
,,,14112,3750
,,,14200,1012750
,,,14201,198500
,,,14202,43250
,,,14300,105750
,,,14301,186500
,,,14400,741000
,,,14401,111000
,,,14402,19500
,,,14403,218250
,,,14404,228500
,,,14405,21500
,,,20010,210500
,,,20011,114000
,,,20012,771000
,,,21100,14000
,,,21101,54000
,,,21102,116500
,,,21103,9750
,,,21109,14250
,,,21110,297500
,,,21111,84500
,,,21112,31500
,,,21120,63750
,,,21200,165250
,,,21201,9750
,,,21202,123250
,,,21203,58250
,,,21210,51750
,,,21211,103000
,,,21220,154000
,,,21221,199250
,,,21222,1163250
,,,21223,353000
,,,21230,355000
,,,21231,1286750
,,,21232,1199250
,,,21233,134750
,,,21234,255250
,,,21300,546000
,,,21301,303000
,,,21310,268750
,,,21311,155000
,,,21320,88500
,,,21321,104500
,,,21322,1750
,,,21330,50500
,,,21331,57000
,,,21332,20250
,,,21390,33750
,,,21399,230500
,,,22100,129000
,,,22101,64000
,,,22110,54250
,,,22111,12750
,,,22112,107000
,,,22113,54000
,,,22114,145250
,,,22210,44750
,,,22211,59000
,,,22212,308750
,,,22213,45500
,,,22214,79500
,,,22220,265000
,,,22221,732500
,,,22222,164500
,,,22230,44000
,,,22231,28500
,,,22232,239000
