SYEAR,ERTAB,LF_STAT,NOC_5,_COUNT_
,,,,149108500
,,,00010,50500
,,,00011,46000
,,,00012,279000
,,,00013,1750
,,,00014,3500
,,,10010,587750
,,,10011,233750
,,,10012,57250
,,,10019,82250
,,,10020,173750
,,,10021,347500
,,,10022,251250
,,,10029,136000
,,,10030,72750
,,,11100,2066750
,,,11101,309500
,,,11102,1193750
,,,11103,136250
,,,11109,295000
,,,11200,717250
,,,11201,1140000
,,,11202,1276250
,,,12010,235000
,,,12011,407750
,,,12012,48750
,,,12013,573000
,,,12100,330500
,,,12101,293000
,,,12102,342250
,,,12103,268250
,,,12104,266750
,,,12110,158000
,,,12111,27750
,,,12112,27000
,,,12113,18250
,,,12200,2145500
,,,12201,252500
,,,12202,73500
,,,12203,68000
,,,13100,1760500
,,,13101,398000
,,,13102,398250
,,,13110,1689000
,,,13111,579500
,,,13112,291250
,,,13200,52250
,,,13201,196000
,,,14100,1894750
,,,14101,1898750
,,,14102,87750
,,,14103,61750
,,,14110,134250
,,,14111,347250
,,,14112,13500
,,,14200,1007750
,,,14201,239000
,,,14202,74000
,,,14300,153250
,,,14301,173500
,,,14400,909500
,,,14401,167500
,,,14402,67500
,,,14403,309500
,,,14404,284250
,,,14405,18250
,,,20010,156000
,,,20011,76500
,,,20012,533500
,,,21100,13750
,,,21101,101000
,,,21102,115250
,,,21103,30750
,,,21109,21250
,,,21110,241000
,,,21111,111750
,,,21112,21750
,,,21120,47500
,,,21200,226000
,,,21201,12250
,,,21202,61500
,,,21203,55000
,,,21210,41000
,,,21211,9500
,,,21220,46000
,,,21221,95000
,,,21222,1113500
,,,21223,286000
,,,21230,559750
,,,21231,737250
,,,21232,940750
,,,21233,158250
,,,21234,278750
,,,21300,468250
,,,21301,295250
,,,21310,273250
,,,21311,123500
,,,21320,75000
,,,21321,38000
,,,21322,16000
,,,21330,85500
,,,21331,76250
,,,21332,30500
,,,21390,38500
,,,21399,218750
,,,22100,121250
,,,22101,99000
,,,22110,96000
,,,22111,24750
,,,22112,129250
,,,22113,84250
,,,22114,295000
,,,22210,86000
,,,22211,49250
,,,22212,248000
,,,22213,84000
,,,22214,129000
,,,22220,378750
,,,22221,946250
,,,22222,149500
,,,22230,42750
,,,22231,53750
,,,22232,195250
,,,22233,246750
,,,22300,166250
,,,22301,124500
,,,22302,136500
,,,22303,159500
,,,22310,211000
,,,22311,541500
,,,22312,63000
,,,22313,19500
,,,30010,223750
,,,31100,261500
,,,31101,76000
,,,31102,622250
,,,31103,95000
,,,31110,174250
,,,31111,59000
,,,31112,63000
,,,31120,361750
,,,31121,77500
,,,31200,156000
,,,31201,63750
,,,31202,226500
,,,31203,158000
,,,31204,116250
,,,31209,47250
,,,31300,248000
,,,31301,2770000
,,,31302,27750
,,,31303,33500
,,,32100,76000
,,,32101,518750
,,,32102,253750
,,,32103,88750
,,,32104,168750
,,,32109,140250
,,,32110,9250
,,,32111,260250
,,,32112,64250
,,,32120,226250
,,,32121,161750
,,,32122,50750
,,,32123,33250
,,,32124,164750
,,,32129,54250
,,,32200,133250
,,,32201,324500
,,,32209,102500
,,,33100,373500
,,,33101,304000
,,,33102,2467500
,,,33103,303000
,,,33109,198500
,,,40010,14750
,,,40011,72500
,,,40012,10500
,,,40019,169750
,,,40020,104750
,,,40021,280750
,,,40030,366250
,,,40040,17500
,,,40041,60250
,,,41100,16000
,,,41101,885500
,,,41200,577750
,,,41201,656250
,,,41210,911250
,,,41220,696000
,,,41221,1472250
,,,41229,1331500
,,,41300,394000
,,,41301,620500
,,,41302,267500
,,,41310,59750
,,,41311,93500
,,,41320,196250
,,,41321,155750
,,,41400,294750
,,,41401,55500
,,,41402,235250
,,,41403,387750
,,,41404,284250
,,,41405,265000
,,,41406,78500
,,,41407,60750
,,,41409,50500
,,,42100,642000
,,,42101,232000
,,,42200,368000
,,,42201,1387250
,,,42202,1576250
,,,42203,22500
,,,42204,35750
,,,43100,1110000
,,,43109,536250
,,,43200,32750
,,,43201,223750
,,,43202,86750
,,,43203,127750
,,,44100,469000
,,,44101,694250
,,,45100,79250
,,,missi,77093250
,,Employed,,66058500
,,Employed,00010,43750
,,Employed,00011,44250
,,Employed,00012,273000
,,Employed,00013,1750
,,Employed,00014,3500
,,Employed,10010,556250
,,Employed,10011,216500
,,Employed,10012,50250
,,Employed,10019,73500
,,Employed,10020,167500
,,Employed,10021,340250
,,Employed,10022,233750
,,Employed,10029,129250
,,Employed,10030,56750
,,Employed,11100,1987250
,,Employed,11101,293500
,,Employed,11102,1147000
,,Employed,11103,128500
,,Employed,11109,278000
,,Employed,11200,662750
,,Employed,11201,1070250
,,Employed,11202,1163250
,,Employed,12010,218250
,,Employed,12011,382250
,,Employed,12012,34500
,,Employed,12013,543000
,,Employed,12100,312000
,,Employed,12101,269500
,,Employed,12102,321000
,,Employed,12103,239000
,,Employed,12104,255500
,,Employed,12110,141500
,,Employed,12111,26500
,,Employed,12112,20500
,,Employed,12113,13250
,,Employed,12200,1950500
,,Employed,12201,248250
,,Employed,12202,68000
,,Employed,12203,67000
,,Employed,13100,1627000
,,Employed,13101,372000
,,Employed,13102,376250
,,Employed,13110,1528500
,,Employed,13111,529750
,,Employed,13112,269000
,,Employed,13200,50500
,,Employed,13201,182750
,,Employed,14100,1645000
,,Employed,14101,1638250
,,Employed,14102,81750
,,Employed,14103,59250
,,Employed,14110,63750
,,Employed,14111,283000
,,Employed,14112,10250
,,Employed,14200,883000
,,Employed,14201,226500
,,Employed,14202,69250
,,Employed,14300,135500
,,Employed,14301,156500
,,Employed,14400,831750
,,Employed,14401,143500
,,Employed,14402,59000
,,Employed,14403,255750
,,Employed,14404,263500
,,Employed,14405,15000
,,Employed,20010,152250
,,Employed,20011,73500
,,Employed,20012,503750
,,Employed,21100,12750
,,Employed,21101,93000
,,Employed,21102,109500
,,Employed,21103,30750
,,Employed,21109,15250
,,Employed,21110,224250
,,Employed,21111,97750
,,Employed,21112,20250
,,Employed,21120,43500
,,Employed,21200,223000
,,Employed,21201,12250
,,Employed,21202,58500
,,Employed,21203,51250
,,Employed,21210,40250
,,Employed,21211,9500
,,Employed,21220,43000
,,Employed,21221,88250
,,Employed,21222,1045750
,,Employed,21223,268000
,,Employed,21230,521000
,,Employed,21231,708500
,,Employed,21232,863000
,,Employed,21233,144750
,,Employed,21234,258000
,,Employed,21300,450000
,,Employed,21301,271250
,,Employed,21310,263000
,,Employed,21311,118500
,,Employed,21320,72500
,,Employed,21321,34500
,,Employed,21322,16000
,,Employed,21330,79000
,,Employed,21331,69000
,,Employed,21332,28000
,,Employed,21390,35750
,,Employed,21399,203000
,,Employed,22100,94250
,,Employed,22101,75000
,,Employed,22110,76250
,,Employed,22111,23500
,,Employed,22112,108250
,,Employed,22113,69750
,,Employed,22114,254500
,,Employed,22210,79750
,,Employed,22211,48500
,,Employed,22212,216500
,,Employed,22213,65500
,,Employed,22214,117000
,,Employed,22220,341500
,,Employed,22221,878750
,,Employed,22222,135750
,,Employed,22230,38000
,,Employed,22231,47000
,,Employed,22232,169500
,,Employed,22233,221250
,,Employed,22300,138250
,,Employed,22301,110750
,,Employed,22302,122250
,,Employed,22303,149250
,,Employed,22310,187000
,,Employed,22311,476500
,,Employed,22312,52250
,,Employed,22313,19500
,,Employed,30010,213000
,,Employed,31100,254500
,,Employed,31101,75500
,,Employed,31102,608750
,,Employed,31103,94500
,,Employed,31110,165500
,,Employed,31111,58750
,,Employed,31112,60250
,,Employed,31120,347500
,,Employed,31121,77250
,,Employed,31200,149750
,,Employed,31201,63750
,,Employed,31202,221000
,,Employed,31203,152500
,,Employed,31204,103250
,,Employed,31209,45750
,,Employed,31300,235250
,,Employed,31301,2632750
,,Employed,31302,27750
,,Employed,31303,32250
,,Employed,32100,73500
,,Employed,32101,500250
,,Employed,32102,228250
,,Employed,32103,81500
,,Employed,32104,156750
,,Employed,32109,125250
,,Employed,32110,9250
,,Employed,32111,241000
,,Employed,32112,62250
,,Employed,32120,212000
,,Employed,32121,153250
,,Employed,32122,48500
,,Employed,32123,31250
,,Employed,32124,156750
,,Employed,32129,51000
,,Employed,32200,129500
,,Employed,32201,313500
,,Employed,32209,98000
,,Employed,33100,343250
,,Employed,33101,283750
,,Employed,33102,2337250
,,Employed,33103,285000
,,Employed,33109,183500
,,Employed,40010,14750
,,Employed,40011,69000
,,Employed,40012,10250
,,Employed,40019,164500
,,Employed,40020,100250
,,Employed,40021,265750
,,Employed,40030,339250
,,Employed,40040,14000
,,Employed,40041,58000
,,Employed,41100,12750
,,Employed,41101,849500
,,Employed,41200,522250
,,Employed,41201,477500
,,Employed,41210,797000
,,Employed,41220,643750
,,Employed,41221,1358750
,,Employed,41229,1192750
,,Employed,41300,374500
,,Employed,41301,586750
,,Employed,41302,252250
,,Employed,41310,57250
,,Employed,41311,91250
,,Employed,41320,182250
,,Employed,41321,139000
,,Employed,41400,281500
,,Employed,41401,50750
,,Employed,41402,215000
,,Employed,41403,357750
,,Employed,41404,259250
,,Employed,41405,251000
,,Employed,41406,73750
,,Employed,41407,33500
,,Employed,41409,43750
,,Employed,42100,625000
,,Employed,42101,214000
,,Employed,42200,349250
,,Employed,42201,1268500
,,Employed,42202,1364750
,,Employed,42203,20000
,,Employed,42204,32500
,,Employed,43100,917500
,,Employed,43109,446500
,,Employed,43200,30250
,,Employed,43201,216500
,,Employed,43202,81750
,,Employed,43203,118500
,,Employed,44100,371250
,,Employed,44101,618750
,,Employed,45100,64750
,,Employed,missi,0
,,Unemployed,,4930750
,,Unemployed,00010,1250
,,Unemployed,00011,250
,,Unemployed,00012,250
,,Unemployed,00013,0
,,Unemployed,00014,0
,,Unemployed,10010,14500
,,Unemployed,10011,9250
,,Unemployed,10012,4000
,,Unemployed,10019,5750
,,Unemployed,10020,2500
,,Unemployed,10021,1750
,,Unemployed,10022,11750
,,Unemployed,10029,1750
,,Unemployed,10030,5250
,,Unemployed,11100,33500
,,Unemployed,11101,8500
,,Unemployed,11102,21000
,,Unemployed,11103,2000
,,Unemployed,11109,8250
,,Unemployed,11200,22750
,,Unemployed,11201,24000
,,Unemployed,11202,53250
,,Unemployed,12010,7250
,,Unemployed,12011,10000
,,Unemployed,12012,0
,,Unemployed,12013,12250
,,Unemployed,12100,11500
,,Unemployed,12101,8750
,,Unemployed,12102,13500
,,Unemployed,12103,11250
,,Unemployed,12104,6250
,,Unemployed,12110,2750
,,Unemployed,12111,1000
,,Unemployed,12112,2000
,,Unemployed,12113,250
,,Unemployed,12200,49750
,,Unemployed,12201,0
,,Unemployed,12202,3000
,,Unemployed,12203,0
,,Unemployed,13100,50250
,,Unemployed,13101,7250
,,Unemployed,13102,12250
,,Unemployed,13110,47500
,,Unemployed,13111,20500
,,Unemployed,13112,2000
,,Unemployed,13200,250
,,Unemployed,13201,6000
,,Unemployed,14100,70250
,,Unemployed,14101,71750
,,Unemployed,14102,1250
,,Unemployed,14103,250
,,Unemployed,14110,15750
,,Unemployed,14111,18500
,,Unemployed,14112,0
,,Unemployed,14200,53750
,,Unemployed,14201,3500
,,Unemployed,14202,2500
,,Unemployed,14300,2500
,,Unemployed,14301,9250
,,Unemployed,14400,38250
,,Unemployed,14401,10250
,,Unemployed,14402,1000
,,Unemployed,14403,18500
,,Unemployed,14404,6000
,,Unemployed,14405,2000
,,Unemployed,20010,1500
,,Unemployed,20011,1000
,,Unemployed,20012,21000
,,Unemployed,21100,0
,,Unemployed,21101,5250
,,Unemployed,21102,750
,,Unemployed,21103,0
,,Unemployed,21109,250
,,Unemployed,21110,7500
,,Unemployed,21111,1000
,,Unemployed,21112,1250
,,Unemployed,21120,750
,,Unemployed,21200,2000
,,Unemployed,21201,0
,,Unemployed,21202,1500
,,Unemployed,21203,2750
,,Unemployed,21210,0
,,Unemployed,21211,0
,,Unemployed,21220,250
,,Unemployed,21221,3750
,,Unemployed,21222,25250
,,Unemployed,21223,6750
,,Unemployed,21230,15750
,,Unemployed,21231,23750
,,Unemployed,21232,27000
,,Unemployed,21233,6750
,,Unemployed,21234,7500
,,Unemployed,21300,6500
,,Unemployed,21301,8500
,,Unemployed,21310,5250
,,Unemployed,21311,4750
,,Unemployed,21320,2250
,,Unemployed,21321,250
,,Unemployed,21322,0
,,Unemployed,21330,1000
,,Unemployed,21331,0
,,Unemployed,21332,0
,,Unemployed,21390,2750
,,Unemployed,21399,4750
,,Unemployed,22100,7250
,,Unemployed,22101,9250
,,Unemployed,22110,5500
,,Unemployed,22111,0
,,Unemployed,22112,10750
,,Unemployed,22113,1250
,,Unemployed,22114,9500
,,Unemployed,22210,1250
,,Unemployed,22211,500
,,Unemployed,22212,8500
,,Unemployed,22213,7750
,,Unemployed,22214,2000
,,Unemployed,22220,8750
,,Unemployed,22221,29500
,,Unemployed,22222,7500
,,Unemployed,22230,4250
,,Unemployed,22231,1000
,,Unemployed,22232,13250
,,Unemployed,22233,14250
,,Unemployed,22300,1750
,,Unemployed,22301,2750
,,Unemployed,22302,500
,,Unemployed,22303,4500
,,Unemployed,22310,6500
,,Unemployed,22311,18500
,,Unemployed,22312,6250
,,Unemployed,22313,0
,,Unemployed,30010,6000
,,Unemployed,31100,500
,,Unemployed,31101,0
,,Unemployed,31102,1750
,,Unemployed,31103,0
,,Unemployed,31110,3000
,,Unemployed,31111,0
,,Unemployed,31112,1250
,,Unemployed,31120,2250
,,Unemployed,31121,250
,,Unemployed,31200,2500
,,Unemployed,31201,0
,,Unemployed,31202,1500
,,Unemployed,31203,1500
,,Unemployed,31204,2250
,,Unemployed,31209,0
,,Unemployed,31300,1000
,,Unemployed,31301,21250
,,Unemployed,31302,0
,,Unemployed,31303,500
,,Unemployed,32100,1500
,,Unemployed,32101,4250
,,Unemployed,32102,13250
,,Unemployed,32103,6500
,,Unemployed,32104,500
,,Unemployed,32109,7500
,,Unemployed,32110,0
,,Unemployed,32111,10750
,,Unemployed,32112,0
,,Unemployed,32120,1000
,,Unemployed,32121,1250
,,Unemployed,32122,250
,,Unemployed,32123,250
,,Unemployed,32124,3000
,,Unemployed,32129,750
,,Unemployed,32200,0
,,Unemployed,32201,1500
,,Unemployed,32209,750
,,Unemployed,33100,13000
,,Unemployed,33101,4250
,,Unemployed,33102,28000
,,Unemployed,33103,1750
,,Unemployed,33109,2000
,,Unemployed,40010,0
,,Unemployed,40011,0
,,Unemployed,40012,0
,,Unemployed,40019,1750
,,Unemployed,40020,1000
,,Unemployed,40021,750
,,Unemployed,40030,11750
,,Unemployed,40040,1500
,,Unemployed,40041,750
,,Unemployed,41100,0
,,Unemployed,41101,9250
,,Unemployed,41200,12000
,,Unemployed,41201,43000
,,Unemployed,41210,28250
,,Unemployed,41220,16000
,,Unemployed,41221,35000
,,Unemployed,41229,38750
,,Unemployed,41300,8000
,,Unemployed,41301,8750
,,Unemployed,41302,5000
,,Unemployed,41310,750
,,Unemployed,41311,500
,,Unemployed,41320,3750
,,Unemployed,41321,6500
,,Unemployed,41400,4000
,,Unemployed,41401,0
,,Unemployed,41402,11000
,,Unemployed,41403,5500
,,Unemployed,41404,9500
,,Unemployed,41405,3500
,,Unemployed,41406,3250
,,Unemployed,41407,12000
,,Unemployed,41409,3750
,,Unemployed,42100,2250
,,Unemployed,42101,500
,,Unemployed,42200,5750
,,Unemployed,42201,44000
,,Unemployed,42202,60000
,,Unemployed,42203,750
,,Unemployed,42204,1000
,,Unemployed,43100,79000
,,Unemployed,43109,10750
,,Unemployed,43200,1000
,,Unemployed,43201,500
,,Unemployed,43202,2250
,,Unemployed,43203,5750
,,Unemployed,44100,22750
,,Unemployed,44101,17750
,,Unemployed,45100,3250
,,Unemployed,missi,3016250
,,Unknown,,78119250
,,Unknown,00010,5500
,,Unknown,00011,1500
,,Unknown,00012,5750
,,Unknown,00013,0
