functional_group,noc
"Agriculture, Horticulture and Forestry Trades",#2225
"Agriculture, Horticulture and Forestry Trades",#8431
"Agriculture, Horticulture and Forestry Trades",#7522
"Agriculture, Horticulture and Forestry Trades",#7384
Aircraft and Rail Trades,#7315
Aircraft and Rail Trades,#7314
Automotive and Motor Vehicle Trades,#1522
Automotive and Motor Vehicle Trades,#7321
Automotive and Motor Vehicle Trades,#7322
Automotive and Motor Vehicle Trades,#7312
Automotive and Motor Vehicle Trades,#7334
Automotive and Motor Vehicle Trades,#7384
Electrical Trades,#7241
Electrical Trades,#7242
Electrical Trades,#7244
Electrical Trades,#2243
Electrical Trades,#7333
Industrial and Heavy Equipment Trades,#7521
Industrial and Heavy Equipment Trades,#7371
Industrial and Heavy Equipment Trades,#7373
Industrial and Heavy Equipment Trades,#8412
Marine and Boat Trades,#7334
Marine and Boat Trades,#7521
Marine and Boat Trades,#7384
Metal Trades,#7231
Metal Trades,#7233
Metal Trades,#7237
Metal Trades,#7235
Metal Trades,#7311
Metal Trades,#7236
Metal Trades,#7232
Personal/Property Services & Culinary Trades,#6322
Personal/Property Services & Culinary Trades,#6332
Personal/Property Services & Culinary Trades,#6341
Personal/Property Services & Culinary Trades,#6346
Personal/Property Services & Culinary Trades,#6733
Personal/Property Services & Culinary Trades,#7445
Personal/Property Services & Culinary Trades,#6331
Personal/Property Services & Culinary Trades,#7384
Personal/Property Services & Culinary Trades,#7332
Structural Building Trades,#7251
Structural Building Trades,#7252
Structural Building Trades,#7271
Structural Building Trades,#7272
Structural Building Trades,#7284
Structural Building Trades,#7291
Structural Building Trades,#7293
Structural Building Trades,#7294
Structural Building Trades,#7313
Structural Building Trades,#7295
Structural Building Trades,#7281
Structural Building Trades,#7611
Structural Building Trades,#7234
Structural Building Trades,#7253
Structural Building Trades,#7282
Structural Building Trades,#7283
Structural Building Trades,#7292
Structural Building Trades,#7331
Skilled Trades Certification (STC),#7233
Skilled Trades Certification (STC),#7241
Skilled Trades Certification (STC),#7242
Skilled Trades Certification (STC),#7244
Skilled Trades Certification (STC),#7252
Skilled Trades Certification (STC),#7253
Skilled Trades Certification (STC),#7312
Skilled Trades Certification (STC),#7313
Skilled Trades Certification (STC),#7321
Skilled Trades Certification (STC),#7322
